                                                            REPORTE DE LIBROS
========================================================================================================================================================================================================
     Codigo          TITULO                                                  AUTOR                                                       PRECIO
   ISY5671       Harry Potter y la piedra filosofal (Harry Potter 1)         J. K. Rowling                                               33.90
   NBE1339       Palmeras en la nieve                                        Luz Gabas                                                  122.65
   JHP0390       El conde de Montecristo                                     Alexandre Dumas                                            133.79
   OWU1533       Cuatro principes                                            John Julius Norwich                                        213.86
   SFR1226       Ana la de las tejas verdes                                  Lucy Maud Montgomery                                       193.39
   HRT0664       Los funerales de la Mama Grande                             Gabriel Garcia Marquez                                      76.33
   HPP3360       El pintor de batallas                                       Arturo Perez-Reverte                                        12.72
   DND9446       Lo que el viento se llevo                                   Margaret Mitchell                                          129.25
   LJD9991       Baudolino                                                   Umberto Eco                                                197.87
   XIU6076       Rebelion en la granja                                       George Orwell                                              232.77
   PWX7633       La tia Julia y el escribidor                                Mario Vargas Llosa                                         278.80
   UXZ2187       Los 7 habitos de la gente altamente efectiva                Stephen R. Covey                                           114.50
   UEJ1235       Grandes esperanzas                                          Charles Dickens                                            129.07
   DDQ0721       En busca del tiempo perdido                                 Marcel Proust                                              250.24
   HWM4049       Romper el circulo                                           Colleen Hoover                                             201.21
   EWI3090       La seniora Dalloway                                         Virginia Woolf                                              46.34
   JZC7527       El tambor de hojalata                                       Gunter Grass                                               147.44
   WYE2119       El asedio                                                   Arturo Perez-Reverte                                        90.66
   YKQ9278       Alicia en el pais de las maravillas                         Lewis Carroll                                               94.02
   ZNF2241       El extranio caso del Dr. Jekyll y Mr. Hyde                  Robert Louis Stevenson                                     187.19
   CTW5846       El medievo cristiano                                        Mario Merlino                                              213.41
   FWP8469       Justine o los infortunios                                   Charles Dickens                                            260.00
   CRY6839       Ricardo III                                                 William Shakespeare                                        159.10
   WMN3648       Pasaje a la India                                           E. M. Forster                                               61.94
   QBL9575       Los miserables                                              Victor Hugo                                                287.51
   VOI0019       El evangelio según Jesucristo                               Jose Saramago                                                2.32
   TMR5068       Los tres mosqueteros                                        Alejandro Dumas                                            254.78
   RWW7975       El nombre de la rosa                                        Umberto Eco                                                251.27
   LJE6687       El codigo Da Vinci                                          Dan Brown                                                  151.29
   PPI9259       Revolucion                                                  Arturo Perez-Reverte                                        89.88
   ZYF6683       Harry Potter y la Orden del Fenix ( Harry Potter 5)         J. K. Rowling                                              280.76
   GKG6581       Hombres buenos                                              Arturo Perez-Reverte                                       100.33
   WWT1581       La piel del tambor                                          Arturo Perez-Reverte                                        15.88
   CMP1150       Don Quijote de la Mancha                                    Miguel de Cervantes                                         19.50
   CPE5718       Paris era una fiesta                                        Hernest Hemingway                                          254.78
   SHF2360       Un dia de colera                                            Arturo Perez-Reverte                                        19.44
   ETV5056       Moby Dick                                                   Herman Melville                                            199.59
   USE5598       Fortaleza digitali                                          Dan Brown                                                  212.47
   TVR7016       El corazon de las tinieblas                                 Joseph Conrad                                              196.32
   BSX2922       Una historia de Espania                                     Arturo Perez-Reverte                                       146.19
   GXB5722       Cumbres borrascosas                                         Emily Brontë                                               141.69
   ZLE2920       Historia de la Edad Media                                   Indro Montanelli                                           208.38
   MNL3677       El Hobbit                                                   J.R.R. Tolkien                                             205.14
   ZAL2738       1984                                                        George Orwell                                              107.80
   PQZ1316       La Eneida                                                   Virgilio                                                   110.29
   DDU0764       Dioses tumbas y sabios                                      C. W. Ceram                                                 39.20
   EEJ4830       El Principito                                               Antoine de Saint-Exupery                                    82.02
   DPZ8059       El hombre que pudo reinar                                   Rudyard Kipling                                            159.18
   JJV7549       Los hombres que no amaban a las mujeres                     Stieg Larsson                                              110.16
   JXK3142       En el camino                                                Jack Kerouac                                               104.88
   USM9579       El perfume                                                  Patrick Suskind                                            121.60
   JGG5049       El eterno marido                                            Fiodor Dostoyevski                                         138.03
   MIK5358       La transformacion del mundo                                 Jürgen Osterhammel                                          41.61
   BDK4183       La isla del tesoro                                          Robert Louis Stevenson                                      49.99
   ECT0289       Juego de tronos                                             George R.R.Martin                                          223.26
   DVR5984       Mil soles esplendidos                                       Khaled Hosseini                                            145.32
   EBE0042       Capitanes intrepidos                                        Rudyard Kipling                                            237.89
   CXW5879       Los barcos se pierden en tierra                             Arturo Perez-Reverte                                        46.15
   GOG7446       El guardian entre el centeno                                J. D. Salinger                                             230.55
   QYH7021       Historia del siglo XX: 1914-1991                            Eric Hobsbawm                                               26.46
   KCI5219       El Maestro y Margarita                                      Mijail Bulgakov                                            251.70
   FMX8255       Las aventuras de Huckleberry Finn                           Mark Twain                                                 137.78
   ZQY9966       El suenio del tio                                           Fiodor Dostoyevski                                         235.88
   DXP8640       El retrato de Dorian Gray                                   Oscar Wilde                                                 32.41
   LRV5687       La guerra del fin del mundo                                 Mario Vargas Llosa                                           7.82
   EBT7258       Linea de fuego                                              Arturo Perez-Reverte                                       201.06
   ELC8965       Las aventuras de Rocambole                                  Ponson Du Terrail                                           13.46
   ULM8751       La sumisa                                                   Fiodor Dostoyevski                                         131.62
   PGK5617       El Rey Lear                                                 William Shakespeare                                         31.72
   QFG6515       El libro de la selva                                        Rudyard Kipling                                             53.38
   QVX9089       Madame Bovary                                               Gustave Flaubert                                            86.76
   QMI4747       La isla de los amores infinitos                             Daina Chaviano                                             189.13
   SMW0186       La sombra del viento                                        Carlos Ruiz Zafon                                          144.22
   HSE3213       Por quien doblan las campanas                               Hernest Hemingway                                           72.12
   RZX8790       El senior de las moscas                                     William Golding                                            197.01
   XMT1768       Los diarios de Adan y Eva                                   Mark Twain                                                 253.82
   HGN9910       La ciudad y los perros                                      Mario Vargas Llosa                                          17.11
   JNC0786       Mi isla                                                     Elisabet Benavent                                          291.57
   HHR5161       El francotirador paciente                                   Arturo Perez-Reverte                                       232.45
   FNM6936       Divina comedia                                              Dante Alighieri                                            279.18
   HVZ1228       El húsar                                                    Arturo Perez-Reverte                                       205.18
   MKB4184       Napoleon                                                    Alejandro Dumas                                            273.55
   KBF4088       Harry Potter y el prisionero de Azkaban (Harry Potter 3)    J.K. Rowling                                               162.02
   ZQD4253       Harry Potter y el misterio del principe ( Harry Potter 6)   J. K. Rowling                                              113.13
   PHL4155       El idiota                                                   Fiodor Dostoyevski                                         194.39
   EYV0597       Cuentos de la selva                                         Horacio Quiroga                                            250.81
   AKU9740       Conversacion en La Catedral                                 Mario Vargas Llosa                                         230.59
   ACM9578       Amadis de gaula                                             Garci Rodriguez Montalvo                                    12.07
   OCI8959       David Copperfield                                           Charles Dickens                                            140.94
   EJE8138       Yawar fiesta                                                Jose Maria Arguedas                                        294.05
   WHU1288       La hija italiana                                            Soraya Lane                                                 55.12
   ICU6090       La fiesta del chivo                                         Mario Vargas Llosa                                         104.59
   BUC5125       El faro de Stalingrado                                      Iain MacGregor                                             101.02
   BUY4915       La sombra del aguila                                        Arturo Perez-Reverte                                        72.44
   USK1312       Un mundo sin fin                                            Ken Follett                                                102.92
   VFO4193       La catedral del mar                                         Ildefonso Falcones                                         193.60
   OWO8918       Origen                                                      Dan Brown                                                  125.45
   YZV6954       Corazon de las tinieblas                                    Joseph Conrad                                               61.22
   CLG5566       Pantaleon y las visitadoras                                 Mario Vargas Llosa                                          79.21
   IUI3314       El coronel no tiene quien le escriba                        Gabriel Garcia Marquez                                     128.38
   EFD3949       La divina comedia                                           Dante Alighieri                                              9.73
   FVV9246       Matar a un ruisenior                                        Harper Lee                                                  80.88
   SPM4763       Eva                                                         Arturo Perez-Reverte                                        83.27
   BHD6079       Zorba el griego                                             Nikos Kazantzakis                                           86.71
   RYI5447       El corazon es un cazador solitario                          Carson Mccullers                                           108.89
   BUB3833       Otelo                                                       William Shakespeare                                        282.62
   EUO8195       El jardin del Eden                                          Hernest Hemingway                                           34.50
   KSX7995       El simbolo perdidoi                                         Dan Brown                                                  157.98
   MTZ2227       Hamlet                                                      William Shakespeare                                        292.95
   JSM8271       La Odisea                                                   Homero                                                      29.60
   KVL6246       La edad media - barbaros - cristianos y musulmanes          Umberto Eco                                                265.01
   QMJ4188       Emma                                                        Jane Austen                                                  9.10
   QKH2262       Fiesta                                                      Hernest Hemingway                                           83.83
   HXB2949       El medico                                                   Noah Gordon                                                192.30
   OBH4691       Crimen y castigo                                            Fiodor Dostoyevski                                         101.85
   IPE3429       Sidi                                                        Arturo Perez-Reverte                                        69.56
   ILA4795       La ladrona de libros                                        Markus ZusaK                                                66.39
   EFQ0297       Trampa 22                                                   Joseph Heller                                              199.81
   BRG4234       La telarania de Carlota                                     E. B. White                                                284.83
   EZP0333       La Reina del Sur                                            Arturo Perez-Reverte                                        96.07
   MBB0685       El capitan Alatriste                                        Arturo Perez-Reverte                                       221.97
   CST1133       Inferno                                                     Dan Brown                                                   31.40
   RNG2321       El Aleph                                                    Jorge Luis Borges                                          238.45
   RSK1164       El amor en los tiempos del colera                           Gabriel Garcia Marquez                                      91.91
   WYS2674       Secuestrado                                                 Robert Louis Stevenson                                      71.22
   CRR5443       Un mundo feliz                                              Aldous Huxley                                               35.50
   JEN0751       Ana Karenina                                                Leon Tolstoi                                               146.88
   IGT8523       Una columna de fuego                                        Ken Follett                                                 46.11
   FYV9055       Macbeth                                                     William Shakespeare                                        147.76
   LGB2311       Decameron                                                   Giovanni Boccaccio                                         271.10
   MEH2993       Hijos de un tiempo perdido                                  Jose Maria Bermúdez de Castro                              125.36
   CJN4376       Harry Potter y la camara secreta (Harry Potter 2)           J. K. Rowling                                              151.91
   ION3794       Crepúsculo                                                  Stephenie Meyer                                             25.97
   HDA2333       Lituma en los Andes                                         Mario Vargas Llosa                                         152.96
   CKR6798       El lobo estepario                                           Hermann Hesse                                              149.43
   GDA4236       Gente normal                                                Sally Rooney                                               115.31
   BAP2859       El túnel                                                    Ernesto Sabato                                             132.00
   EHX6253       La isla de las tormentas                                    Ken Follett                                                266.04
   OUU5470       La carta esferica                                           Arturo Perez-Reverte                                       265.73
   PQB0775       El diablo de la botella y otros cuentos                     Robert Louis Stevenson                                     177.59
   DEF7625       Las uvas de la ira                                          John SteinbecK                                             278.27
   UDS2730       Los Nibelungos                                              Anonimo                                                    160.51
   DTH6788       Los perros duros no bailan                                  Arturo Perez-Reverte                                         5.00
   KLV1872       Orgullo y prejuicio                                         Jane Austen                                                185.25
   BUT4998       Lolita                                                      Vladimir Nabokov                                           246.78
   XBC5847       Tiempos recios                                              Mario Vargas Llosa                                         268.13
   AZL1098       El extranjero                                               Albert Camus                                                28.90
   BZY0235       Fausto                                                      Johann Wolfgang Von Goethe                                  55.75
   QQQ4712       Nuestra Seniora de Paris                                    Victor Hugo                                                249.38
   BTX3816       El jugador                                                  Fiodor Dostoyevski                                         232.71
   MLC7198       Los rios profundos                                          Jose Maria Arguedas                                        141.87
   JZU0977       El alquimista                                               Paulo Coelho                                               179.82
   AGQ7769       La Flecha Negra                                             Robert Louis Stevenson                                      99.67
   BXE0974       Los viajes de Gulliver                                      Jonathan Swift                                              44.79
   UFK9792       El psicoanalista                                            John Katzenbach                                             60.52
   XRL3393       Le dedico mi silencio                                       Mario Vargas Llosa                                         138.16
   GUN8655       Angeles y demoniosi                                         Dan Brown                                                   76.44
   NGQ6935       La casa de los espiritus                                    Isabel Allende                                             104.53
   PWB4941       La montania magica                                          Thomas Mann                                                 22.15
   NEW1762       Territorio comanche                                         Arturo Perez-Reverte                                       296.53
   QHZ8547       Adios a las armas                                           Hernest Hemingway                                          246.91
   PCS8992       Y no quedo ninguno                                          Agatha Christie                                             80.07
   VFI8064       A sangre fria                                               Truman Capote                                              254.69
   XTM9385       El mundo                                                    Simon Sebag Montefiore                                     155.79
   VDL9379       Los juegos del hambre                                       Suzanne Collins                                            259.55
   IFL0150       Romeo y Julieta                                             William Shakespeare                                         35.64
   JZQ8143       Suenios de robot                                            Isaac Asimov                                                60.51
   SXT1015       Mientras agonizo                                            William Faulkner                                            57.87
   KGO1734       Una historia del mundo                                      Andrew Marr                                                 47.90
   SMI7078       Los cachorros                                               Mario Vargas Llosa                                         148.98
   RAO4129       Stalingrado                                                 Jonathan Trigg                                              80.13
   VYG3594       Los demonios                                                Fiodor Dostoyevski                                         104.74
   HLC2748       El senior de los anillos (Trilogia)                         J.R.R.Tolkien                                               85.46
   GJM4671       Origenes                                                    Lewis Dartnell                                              50.78
   VYK6352       Armas germenes y acero                                      Jared Diamond                                               65.26
   VSG3432       Bajo bandera negra                                          David Cordingly                                            220.82
   OQK1590       Cometas en el cielo                                         Khaled Hosseini                                            100.56
   JXC1015       Robinson Crusoe                                             Daniel Defoe                                                58.13
   TAB4639       El color que cayo del cielo                                 H. P. Lovecraft                                             26.91
   YXF2137       En agosto nos vemos                                         Gabriel Garcia Marquez                                     106.78
   SIR3963       Memorias de una geisha                                      Arthur Golden                                              226.47
   ALH8812       Guerra y Paz                                                Leon Tolstoi                                               296.10
   UCA0857       SPQR: una historia de la antigua Roma                       Mary Beard                                                   8.77
   KLO8691       Catedral                                                    Raymond Carver                                             134.66
   HPM0950       Fahrenheit 451                                              Ray Bradbury                                               103.01
   JOF6762       Ojos azules                                                 Arturo Perez-Reverte                                         1.24
   DEK2757       En llamas                                                   Suzanne Collins                                             61.18
   RRE8138       Trilogia de la Fundacion                                    Isaac Asimov                                               138.92
   JKE9650       La metamorfosis                                             Franz Kafka                                                217.54
   BZX4462       Culpa mia                                                   Mercedes Ron                                               174.37
   NFP3266       Sabotaje                                                    Arturo Perez-Reverte                                        29.28
